2026-05-16 05:13:57 | Storj (STORJ) | Prezzo ingresso: $0.135237 | Score 14 | 24H +25.62% | Vol/MCap 804.53%
2026-05-16 11:39:34 | dKargo (DKA) | Entry $0.00588387 | Score 22 | 24H -2.54% | Vol/MCap 45.23%
2026-05-16 11:39:34 | DODO (DODO) | Entry $0.0183966 | Score 22 | 24H -1.98% | Vol/MCap 71.11%
2026-05-16 11:39:34 | Orca (ORCA) | Entry $1.5 | Score 21 | 24H 1.58% | Vol/MCap 97.66%
2026-05-16 11:39:34 | Numeraire (NMR) | Entry $9.19 | Score 21 | 24H 2.69% | Vol/MCap 23.28%
2026-05-16 11:48:29 | Paris Saint-Germain Fan Token (PSG) | Entry $1.088 | SmartScore 36 | 24H 2.75% | Vol/MCap 187.0%
2026-05-16 11:48:29 | Royal Euro (REUR) | Entry $1.16 | SmartScore 32 | 24H -0.06% | Vol/MCap 345.16%
2026-05-16 11:48:29 | USDH (USDH) | Entry $1.0 | SmartScore 32 | 24H 0.03% | Vol/MCap 96.5%
2026-05-16 11:48:29 | Alphabet xStock (GOOGLX) | Entry $395.53 | SmartScore 32 | 24H 0.35% | Vol/MCap 81.17%
2026-05-16 11:48:29 | aixbt (AIXBT) | Entry $0.03217579 | SmartScore 32 | 24H 0.19% | Vol/MCap 44.4%
2026-05-16 11:48:29 | Checkmate (CHECK) | Entry $0.04457455 | SmartScore 32 | 24H 0.12% | Vol/MCap 67.16%
2026-05-16 11:48:29 | Orca (ORCA) | Entry $1.5 | SmartScore 29 | 24H 2.12% | Vol/MCap 91.41%
2026-05-16 11:48:29 | Solayer (LAYER) | Entry $0.091341 | SmartScore 27 | 24H -4.6% | Vol/MCap 619.08%
2026-05-16 11:48:29 | ZEROBASE (ZBT) | Entry $0.160569 | SmartScore 27 | 24H 6.47% | Vol/MCap 80.15%
2026-05-16 11:48:29 | Aevo (AEVO) | Entry $0.02697278 | SmartScore 27 | 24H -4.27% | Vol/MCap 115.64%
2026-05-16 11:53:29 | Paris Saint-Germain Fan Token (PSG) | Entry $1.084 | SmartScore 36 | 24H 2.56% | Vol/MCap 187.5%
2026-05-16 11:53:29 | Royal Euro (REUR) | Entry $1.16 | SmartScore 32 | 24H -0.05% | Vol/MCap 345.38%
2026-05-16 11:53:29 | USDH (USDH) | Entry $0.999795 | SmartScore 32 | 24H -0.0% | Vol/MCap 96.64%
2026-05-16 11:53:29 | Alphabet xStock (GOOGLX) | Entry $395.54 | SmartScore 32 | 24H 0.38% | Vol/MCap 81.17%
2026-05-16 11:53:29 | aixbt (AIXBT) | Entry $0.0320503 | SmartScore 32 | 24H -0.19% | Vol/MCap 44.69%
2026-05-16 11:53:29 | DODO (DODO) | Entry $0.01889598 | SmartScore 32 | 24H -1.55% | Vol/MCap 67.02%
2026-05-16 11:53:29 | Checkmate (CHECK) | Entry $0.04456468 | SmartScore 32 | 24H 0.12% | Vol/MCap 67.17%
2026-05-16 11:53:29 | Orca (ORCA) | Entry $1.51 | SmartScore 29 | 24H 2.36% | Vol/MCap 91.8%
2026-05-16 11:53:29 | Solayer (LAYER) | Entry $0.091409 | SmartScore 27 | 24H -4.52% | Vol/MCap 609.8%
2026-05-16 11:53:29 | ZEROBASE (ZBT) | Entry $0.159454 | SmartScore 27 | 24H 5.51% | Vol/MCap 112.04%
